date,pm25,pm10,o3,no2,so2,co,psi
1/12/2025,84,39,8, ,2,5, 
2/12/2025,53,32,25, ,3,7, 
3/12/2025,80,28,14, ,2,5, 
4/12/2025,48,24,18, ,1,7, 
5/12/2025,56,20,15, ,1,5, 
6/12/2025,36,20,14, ,1,5, 
7/12/2025,53,29,17, ,1,4, 
8/12/2025,50,34,18, ,1,4, 
9/12/2025,55,29,14, ,1, , 
10/12/2025,43,23,15, ,3,5, 
11/12/2025,59,26,22, ,3,4, 
12/12/2025,49,20,13, ,2,5, 
13/12/2025,35,15,13, , ,6, 
14/12/2025,27,19,4, , ,5, 
15/12/2025,27, , , , , , 
1/11/2025,63,27,13, ,1,3, 
2/11/2025,47,24,10, ,2,3, 
3/11/2025,50,30,23, ,3,3, 
4/11/2025,71,32,19, ,2,3, 
5/11/2025,69,32,13, ,2,2, 
6/11/2025,58,26,14, ,2,2, 
7/11/2025,51,29,20, ,2,2, 
8/11/2025,61,34,23, ,1,2, 
9/11/2025,76,30,15, ,1,2, 
10/11/2025,45,23,24, ,3,4, 
11/11/2025,69,28,12, ,2,4, 
12/11/2025,51,27,7, ,1,5, 
13/11/2025,65,32,10, ,1,5, 
14/11/2025,57,20,16, ,1,4, 
15/11/2025,38,20,15, ,1,5, 
16/11/2025,44,19,15, ,1,5, 
17/11/2025,43,25,20, ,2,5, 
18/11/2025,63,24,26, ,1,4, 
19/11/2025,44,20,22, ,1,4, 
20/11/2025,38,18,19, ,1,5, 
21/11/2025,38,19,21, ,1,4, 
22/11/2025,31,14,18, ,1,3, 
23/11/2025,23,13,15, ,1,4, 
24/11/2025,31,17,13, ,2,4, 
25/11/2025,38,23,20, ,2,4, 
26/11/2025,54,24,15, ,2,5, 
27/11/2025,47,17,16, ,2,6, 
28/11/2025,33,17,23, ,1,6, 
29/11/2025,39,24,40, ,2,7, 
30/11/2025,70,37,27, ,2,5, 
1/10/2025,37,21,15, ,3,3, 
2/10/2025,58,24,12, ,4,2, 
3/10/2025,54,22,14, ,4,2, 
4/10/2025,40,24,17, ,4,3, 
5/10/2025,59,30,8, ,4,2, 
6/10/2025,72,31,8, ,4,4, 
7/10/2025,68,31,12, ,4,4, 
8/10/2025,60,24,9, ,4,4, 
9/10/2025,48,22,17, ,5,4, 
10/10/2025,46,25,15, ,3,4, 
11/10/2025,60,31,16, ,2,4, 
12/10/2025,63,24,13, ,2,5, 
13/10/2025,64,30,11, ,2,6, 
14/10/2025,54,25,9, ,2,6, 
15/10/2025,45,22,14, ,2,6, 
16/10/2025,53,30,17, ,2,6, 
17/10/2025,71,29,14, ,3,4, 
18/10/2025,48,16,10, ,3,2, 
19/10/2025,33,14,12, ,4,2, 
20/10/2025,37,15,9, ,3,3, 
21/10/2025,50,22,13, ,2,4, 
22/10/2025,29,14,15, ,1,3, 
23/10/2025,31,15,15, ,2,3, 
24/10/2025,31,13,9, ,2,3, 
25/10/2025,30,14,16, ,2,4, 
26/10/2025,42,19,14, ,2,5, 
27/10/2025,52,28,22, ,3,5, 
28/10/2025,62,27,19, ,3,4, 
29/10/2025,60,30,23, ,4,3, 
30/10/2025,72,39,24, ,3,2, 
31/10/2025,78,33,18, ,3,4, 
1/7/2025,52,22,6, ,1,3, 
2/7/2025,46,39,12, ,1,4, 
3/7/2025,67,35,6, ,1,3, 
4/7/2025,58,28,10, ,2,3, 
5/7/2025,61,27,12, ,3,5, 
6/7/2025,51,21,8, ,2,4, 
7/7/2025,40,17,9, ,2,5, 
8/7/2025,38,22,11, ,2,3, 
9/7/2025,49,23,11, ,3,3, 
10/7/2025,48,27,6, ,5,4, 
11/7/2025,57,26,5, ,4,4, 
12/7/2025,48,30,10, ,2,4, 
13/7/2025,52,25,6, ,2,4, 
14/7/2025,55,26,7, ,2,4, 
15/7/2025,56,31,10, ,1,4, 
16/7/2025,67,31,10, ,1,5, 
17/7/2025,55,32,14, ,1,5, 
18/7/2025,58,36,12, ,1,3, 
19/7/2025,68,36,14, ,1,1, 
20/7/2025,66,32,11, ,1,2, 
21/7/2025,66,34,12, ,3,1, 
22/7/2025,67,37,13, ,2,2, 
23/7/2025,78,38,12, ,2,2, 
24/7/2025,65,30,13, ,2,1, 
25/7/2025,60,30,9, ,2,2, 
26/7/2025,56,21,12, ,2,2, 
27/7/2025,42,22,12, ,2,2, 
28/7/2025,54,28,9, ,2,1, 
29/7/2025,58,36,12, ,2,1, 
30/7/2025,66,31,9, ,1,2, 
31/7/2025,52,28,8, ,1,1, 
1/8/2025,52,27,14, ,1,1, 
2/8/2025,50,25,6, ,1,2, 
3/8/2025,46,25,4, ,1,3, 
4/8/2025,50,21,13, ,3,2, 
5/8/2025,33,20,7, ,1,3, 
6/8/2025,34,26,11, ,1,2, 
7/8/2025,66,37,11, ,1,2, 
8/8/2025,70,30,10, ,3,4, 
9/8/2025,57,26,8, ,3,4, 
10/8/2025,51,21,4, ,2,4, 
11/8/2025,45,20,11, ,2,4, 
12/8/2025,53,22,12, ,3,3, 
13/8/2025,38,20,8, ,3,3, 
14/8/2025,41,19,6, ,1,4, 
15/8/2025,32,21,9, ,1,5, 
16/8/2025,56,30,12, ,1,4, 
17/8/2025,50,25,3, ,2,4, 
18/8/2025,40,18,3, ,2,7, 
19/8/2025,32,22,7, ,2,4, 
20/8/2025,42,26,6, ,1,2, 
21/8/2025,49,35,14, ,1,3, 
22/8/2025,60,29,13, ,1,3, 
23/8/2025,66,41,8, ,2,5, 
24/8/2025,67,25,9, ,1,4, 
25/8/2025,43,24,11, ,1,4, 
26/8/2025,63,39,14, ,1,4, 
27/8/2025,88,38,8, ,1,4, 
28/8/2025,61,33,16, ,2,5, 
29/8/2025,78,36,4, ,2,4, 
30/8/2025,46,20,12, ,2,4, 
31/8/2025,49,21,4, ,1,5, 
1/9/2025,38,21,2, ,1,4, 
2/9/2025,42,18,8, ,1,3, 
3/9/2025,27,21,3, ,1,4, 
