date, pm25, pm10, o3, no2, so2, co
2025/12/1, 238, 233, 23, 55, 9, 9
2025/12/2, 322, 144, 20, 47, 3, 4
2025/12/3, 252, 179, 14, 45, 4, 6
2025/12/4, 267, 224, 31, 40, 6, 5
2025/12/5, 275, 293, 34, 32, 6, 5
2025/12/6, 278, 216, 33, 32, 4, 5
2025/12/7, 256, 218, 33, 31, 4, 5
2025/12/8, 239, 269, 29, 34, 3, 5
2025/12/9, 224, 273, 28, 33, 4, 3
2025/12/10, 234, 282, 27, 34, 6, 7
2025/12/11, 265, 432, 28, 36, 9, 2
2025/12/12, 320, 611, 37, 50, 14, 7
2025/12/13, 488, 692, 2, 43, 13, 15
2025/12/14, 562, 435, 15, 34, 7, 12
2025/12/15, 404, 318, , 33, 4, 9
2025/12/16, 356, , , , , 
2025/11/1, 284, 226, 28, 49, 6, 6
2025/11/2, 250, 233, 27, 43, 9, 4
2025/11/3, 228, 200, 28, 46, 8, 3
2025/11/4, 175, 141, 23, 34, 5, 6
2025/11/5, 176, 317, 26, 34, 13, 6
2025/11/6, 330, 303, 30, 40, 11, 7
2025/11/7, 307, 385, 33, 43, 12, 5
2025/11/8, 315, 310, 35, 46, 8, 
2025/11/9, 312, 298, 31, 53, 14, 8
2025/11/10, 365, 315, 38, 50, 17, 7
2025/11/11, 387, 317, 38, 45, 30, 6
2025/11/12, 390, 282, 34, 47, 13, 4
2025/11/13, 373, 237, 32, 48, 12, 6
2025/11/14, 330, 239, 34, 45, 13, 6
2025/11/15, 326, 213, 17, 43, 21, 4
2025/11/16, 315, 218, 24, 49, 18, 6
2025/11/17, 280, 246, 1, 56, 24, 
2025/11/18, 324, 258, 42, 51, 14, 5
2025/11/19, 359, 285, 36, 53, 18, 4
2025/11/20, 369, 295, 32, 53, 34, 14
2025/11/21, 367, 261, 30, 47, 21, 7
2025/11/22, 328, 256, 27, 46, 7, 4
2025/11/23, 373, 193, 27, 41, 7, 9
2025/11/24, 309, 202, 19, 42, 8, 9
2025/11/25, 295, 178, 28, 40, 8, 6
2025/11/26, 269, 330, 28, 51, 18, 8
2025/11/27, 386, 207, 19, 48, 10, 7
2025/11/28, 311, 131, 18, 44, 4, 6
2025/11/29, 228, 141, 8, 42, 1, 8
2025/11/30, 246, 157, 27, 46, 3, 3
2025/10/1, 102, 94, 30, 14, 1, 6
2025/10/2, 117, 67, 25, 14, 3, 6
2025/10/3, 110, 102, 28, 13, 4, 14
2025/10/4, 148, 124, 31, 14, 4, 8
2025/10/5, 145, , , , , 
2025/10/7, 51, 55, 17, 16, 1, 4
2025/10/8, 94, 77, 24, 13, 3, 5
2025/10/9, 119, 122, 36, 18, 9, 6
2025/10/10, 149, 254, 32, 23, 3, 6
2025/10/11, 158, 127, 34, 18, 4, 6
2025/10/12, 150, 166, 36, 22, 6, 2
2025/10/13, 164, 161, 35, 25, 6, 4
2025/10/14, 164, 218, 39, 25, 6, 5
2025/10/15, 194, 318, 36, 26, 10, 4
2025/10/16, 218, 283, 36, 27, 6, 4
2025/10/17, 206, 228, 36, 26, 11, 1
2025/10/18, 198, 260, 42, 26, 8, 1
2025/10/19, 198, 260, 44, 25, 15, 4
2025/10/20, 259, 425, 30, 25, 20, 4
2025/10/21, 437, 171, 32, 20, 8, 4
2025/10/22, 232, 143, 32, 24, 7, 3
